crime_type,year,month,day,hour,location,latitude,longitude
narcotics,2001,11,17,18,STREET,41.898402712,-87.6388974
robbery,2002,3,8,2,OTHER,41.96055619,-87.71312483
prostitution,2007,2,10,17,STREET,41.947310094,-87.650306328
narcotics,2005,8,6,11,ALLEY,41.707112071,-87.627537804
theft,2003,7,9,15,SMALL RETAIL STORE,41.892816145,-87.624193198
criminal_damage,2012,3,27,22,RESIDENCE,41.73576911,-87.58054668
theft,2003,9,19,12,HOSPITAL BUILDING/GROUNDS,41.757630995,-87.585708249
robbery,2006,12,18,21,ALLEY,41.712889584,-87.667667481
theft,2003,1,16,21,OTHER,41.758214815,-87.624119338
criminal_damage,2012,10,19,19,RESIDENCE-GARAGE,41.852866981,-87.691658554
theft,2009,8,24,22,SIDEWALK,41.649568403,-87.544734672
robbery,2015,7,16,15,PARK PROPERTY,41.779590193,-87.777104405
narcotics,2013,10,7,20,STREET,41.699584978,-87.628081503
theft,2011,1,12,24,"SCHOOL, PUBLIC, BUILDING",41.935428738,-87.783396923
criminal_damage,2009,11,5,23,STREET,41.991147668,-87.776656803
prostitution,2004,9,28,2,SIDEWALK,41.910352215,-87.685087464
prostitution,2002,6,19,19,STREET,41.802977153,-87.743027394
criminal_damage,2006,9,11,19,STREET,41.79240872,-87.736618961
criminal_damage,2016,6,20,23,STREET,41.915544663,-87.759410257
narcotics,2011,2,20,11,STREET,41.797222838,-87.653739707
criminal_damage,2007,12,25,19,APARTMENT,41.655308597,-87.613159131
robbery,2003,11,6,15,DELIVERY TRUCK,41.758092329,-87.633682992
criminal_damage,2010,12,28,20,STREET,41.902547422,-87.684567656
theft,2004,12,20,9,PARKING LOT/GARAGE(NON.RESID.),41.892760278,-87.622702655
narcotics,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
theft,2001,7,1,15,RESIDENCE,41.878128824,-87.703736409
criminal_damage,2007,1,1,12,PARKING LOT/GARAGE(NON.RESID.),41.898680349,-87.643985382
criminal_damage,2011,10,22,6,STREET,41.823528463,-87.703137924
narcotics,2011,2,5,1,GAS STATION,41.874153389,-87.735238688
theft,2016,8,28,3,STREET,41.853930752,-87.623841071
narcotics,2008,9,16,19,ALLEY,41.888229536,-87.76513795
narcotics,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
criminal_damage,2016,4,12,6,STREET,41.967894291,-87.71824209
theft,2014,4,5,24,COMMERCIAL / BUSINESS OFFICE,41.887289811,-87.658908031
criminal_damage,2005,9,23,22,SIDEWALK,41.737367232,-87.64000479
criminal_damage,2005,7,4,15,PARK PROPERTY,41.953087341,-87.725090015
narcotics,2003,10,8,15,STREET,41.880957721,-87.747744993
narcotics,2003,11,15,21,STREET,41.895273654,-87.767844936
robbery,2001,7,11,10,STREET,41.703380602,-87.62144108
narcotics,2003,8,17,20,STREET,41.9084987,-87.759657059
prostitution,2008,1,29,23,STREET,41.852505917,-87.7052761
prostitution,2008,3,13,16,STREET,41.887209971,-87.765954936
prostitution,2004,3,11,12,STREET,41.866428839,-87.703509785
narcotics,2003,1,22,17,STREET,41.884471648,-87.743706376
criminal_damage,2008,2,28,16,ALLEY,41.79533148,-87.778240858
criminal_damage,2010,12,11,21,PARKING LOT/GARAGE(NON.RESID.),41.772972076,-87.644610871
prostitution,2016,5,21,2,SIDEWALK,41.866023916,-87.735575126
narcotics,2007,7,13,17,SIDEWALK,41.903242472,-87.71657814
theft,2004,3,1,5,APARTMENT,41.912887914,-87.688504318
robbery,2015,8,5,24,SMALL RETAIL STORE,41.979317093,-87.668294468
robbery,2013,8,31,23,ALLEY,41.941726802,-87.7272637
prostitution,2015,3,26,22,STREET,41.75418615,-87.55501442
prostitution,2006,8,7,11,STREET,41.881230117,-87.682135713
robbery,2004,7,16,15,SIDEWALK,41.863962923,-87.70925367
theft,2003,10,14,19,GROCERY FOOD STORE,41.909614875,-87.747016581
criminal_damage,2012,4,28,20,STREET,41.807570272,-87.747155691
robbery,2009,6,30,13,SMALL RETAIL STORE,41.77924593,-87.684272098
criminal_damage,2004,1,17,3,OTHER,41.80698532,-87.619528654
narcotics,2004,3,26,11,SIDEWALK,41.905025355,-87.709305775
criminal_damage,2007,10,9,22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.749638738,-87.663421759
prostitution,2005,8,13,22,STREET,41.88111644,-87.691188718
prostitution,2014,8,12,20,PARKING LOT/GARAGE(NON.RESID.),41.967602242,-87.710898023
prostitution,2012,1,24,20,STREET,41.80856602,-87.668933738
prostitution,2010,1,7,7,STREET,41.881345106,-87.698754758
prostitution,2006,7,17,7,STREET,41.851961298,-87.691153739
theft,2013,4,12,10,APARTMENT,41.759579038,-87.61270186
narcotics,2012,8,26,12,STREET,41.873788515,-87.696964272
narcotics,2009,7,19,18,STREET,41.750370861,-87.662377041
robbery,2009,9,23,23,VEHICLE-COMMERCIAL,41.771782439,-87.649436929
robbery,2001,11,26,20,SIDEWALK,42.0104296,-87.668099264
prostitution,2001,9,25,13,STREET,41.808468467,-87.689391167
narcotics,2004,6,11,24,SIDEWALK,41.907378172,-87.689603086
prostitution,2004,10,18,18,STREET,41.88093546,-87.709132611
criminal_damage,2004,3,1,9,RESTAURANT,41.869034816,-87.68216037
criminal_damage,2004,10,5,17,STREET,41.810772464,-87.609014118
criminal_damage,2008,10,26,22,RESIDENCE-GARAGE,41.972622792,-87.800040981
criminal_damage,2011,9,16,15,STREET,41.747645397,-87.603347877
robbery,2005,1,22,15,ALLEY,41.858384589,-87.707876278
criminal_damage,2010,9,4,15,STREET,41.923896527,-87.771296264
criminal_damage,2005,1,1,5,STREET,41.717243701,-87.655271579
criminal_damage,2002,10,6,19,DRIVEWAY - RESIDENTIAL,41.762508464,-87.641478921
narcotics,2013,10,17,21,STREET,41.797751142,-87.61605544
theft,2012,7,23,14,STREET,41.947008254000004,-87.64251291
prostitution,2006,9,14,20,STREET,41.800844112,-87.664762808
criminal_damage,2004,1,18,21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.760340683,-87.588407406
theft,2002,9,14,20,HOTEL/MOTEL,41.898333269,-87.62750777
criminal_damage,2015,7,16,11,DRIVEWAY - RESIDENTIAL,41.841244671,-87.645141673
criminal_damage,2009,1,22,19,STREET,41.973588441,-87.663315953
robbery,2012,9,2,3,ALLEY,41.949292379,-87.649546279
prostitution,2004,8,20,17,STREET,41.910870605,-87.688451145
theft,2006,4,7,12,STREET,41.968640186,-87.771123759
prostitution,2008,1,29,21,STREET,41.880850198,-87.716205977
narcotics,2016,3,24,10,BANK,41.881016537,-87.632339962
prostitution,2001,2,5,21,STREET,41.890104431,-87.63307063
criminal_damage,2010,1,23,24,RESIDENCE,41.9065636,-87.754652554
prostitution,2003,7,17,6,STREET,41.916375298,-87.724086642
theft,2016,12,7,16,"SCHOOL, PRIVATE, BUILDING",41.876628223,-87.650053381
criminal_damage,2008,4,19,10,APARTMENT,41.774282621,-87.613083533
robbery,2013,9,14,6,SIDEWALK,41.858413159,-87.724945467
robbery,2006,5,4,21,STREET,41.751528912,-87.548046864
robbery,2003,11,3,19,STREET,41.893393279,-87.766616423
robbery,2007,2,9,18,STREET,41.707535018,-87.600839053
criminal_damage,2005,10,16,14,APARTMENT,41.742331147,-87.652303504
criminal_damage,2004,10,26,11,STREET,41.926915088,-87.718275764
criminal_damage,2001,7,29,2,APARTMENT,41.944965724,-87.720168108
robbery,2001,5,18,2,ALLEY,41.92686498,-87.748604176
narcotics,2002,1,25,13,RESIDENCE,41.799621611,-87.655643463
prostitution,2003,10,24,21,ALLEY,41.807738845,-87.66495155
narcotics,2005,9,17,19,PARK PROPERTY,41.880890949,-87.619525593
theft,2002,9,17,24,APARTMENT,41.789847106,-87.671759925999993
narcotics,2005,10,23,1,RESIDENCE PORCH/HALLWAY,41.744870944,-87.60378605
theft,2014,4,3,18,PARKING LOT/GARAGE(NON.RESID.),41.88489739,-87.766676821
narcotics,2015,6,8,22,VEHICLE NON-COMMERCIAL,41.89765683,-87.726152565
robbery,2003,5,14,24,STREET,41.866863003,-87.664772948
criminal_damage,2009,9,5,6,RESIDENCE,41.819351842,-87.61569704
narcotics,2004,1,30,15,STREET,41.809081165,-87.633674979
theft,2002,11,23,10,LIBRARY,41.876607964,-87.627644063
theft,2017,3,7,14,SMALL RETAIL STORE,41.80960703,-87.674813888
robbery,2004,2,21,12,SIDEWALK,41.936580107,-87.640214452
prostitution,2001,12,21,22,STREET,41.89011049,-87.632714316
theft,2008,11,1,15,DEPARTMENT STORE,41.896010965,-87.624279065
criminal_damage,2005,12,30,23,APARTMENT,41.748997945,-87.600268946
narcotics,2005,7,30,19,STREET,41.893649131,-87.714125144
prostitution,2002,1,11,21,STREET,41.889996763,-87.632965299
criminal_damage,2008,8,30,12,STREET,41.93657219,-87.779785269
narcotics,2008,8,14,14,STREET,41.896206666,-87.724888091
criminal_damage,2002,9,27,22,VEHICLE NON-COMMERCIAL,41.920362955,-87.694352197
prostitution,2005,4,23,16,HOTEL/MOTEL,41.982224277,-87.693594288
robbery,2011,5,21,16,SIDEWALK,41.734809,-87.724160551
narcotics,2015,6,13,22,STREET,41.853965653,-87.679182227
theft,2010,8,8,3,SIDEWALK,41.890824988,-87.630183362
criminal_damage,2007,7,28,1,RESIDENCE,41.934483772,-87.652177898
theft,2009,12,26,18,RESIDENCE,41.919308468,-87.754779927
theft,2001,8,14,7,COMMERCIAL / BUSINESS OFFICE,41.847311797,-87.724790075
criminal_damage,2005,1,6,3,RESIDENCE,41.764060147,-87.659683275
narcotics,2012,5,25,14,RESIDENCE,41.863385678,-87.727526865
theft,2007,11,12,18,RESIDENCE PORCH/HALLWAY,41.832278311,-87.611035696
theft,2014,3,17,10,STREET,41.971552378,-87.656787951
narcotics,2002,3,12,10,PARK PROPERTY,42.014512189,-87.678466914
theft,2001,5,2,20,STREET,41.953801539,-87.70886329
prostitution,2007,3,13,22,STREET,41.790211616,-87.645053415
narcotics,2014,7,25,10,APARTMENT,41.899683801,-87.668967121
robbery,2013,10,12,11,STREET,41.710635178,-87.619885085
prostitution,2004,7,9,9,STREET,41.800336171,-87.742303456
prostitution,2011,12,28,20,STREET,41.804911724,-87.664863565
robbery,2014,1,31,19,CTA PLATFORM,41.885901992,-87.632455489
criminal_damage,2012,6,24,5,RESIDENCE,41.919541685,-87.759694111
prostitution,2008,1,16,22,STREET,41.887191291,-87.767174373
prostitution,2002,5,7,23,STREET,41.886169843,-87.620686081
theft,2006,9,20,20,STREET,41.927779262,-87.640192135
prostitution,2008,2,1,19,STREET,41.799911401,-87.742952841
robbery,2015,9,4,22,SIDEWALK,41.95019594,-87.664105048
criminal_damage,2013,2,1,16,ALLEY,41.837971865,-87.70973011
prostitution,2009,11,13,22,PARKING LOT/GARAGE(NON.RESID.),41.804876524,-87.743090651
prostitution,2008,10,31,6,STREET,41.88104652,-87.699348928
robbery,2010,7,25,2,OTHER,41.799058715,-87.589081404
prostitution,2003,11,14,8,STREET,41.809135012,-87.691787056
prostitution,2013,5,16,12,STREET,41.808017107,-87.712078435
prostitution,2007,8,11,2,SIDEWALK,41.935372653,-87.717738775
narcotics,2003,6,13,13,CHA PARKING LOT/GROUNDS,41.700584371,-87.56399184
prostitution,2005,1,28,22,STREET,41.80716827,-87.743142974
criminal_damage,2008,7,18,21,STREET,41.977037844,-87.689196234
criminal_damage,2010,2,19,21,VEHICLE NON-COMMERCIAL,42.015198301,-87.692579475
theft,2007,10,12,14,SMALL RETAIL STORE,41.762419957,-87.683180808
robbery,2016,10,24,18,SIDEWALK,41.876865807,-87.743409103
criminal_damage,2016,2,22,8,APARTMENT,41.771695499,-87.657935405999993
criminal_damage,2009,2,16,16,STREET,41.89827066,-87.715186113
robbery,2011,5,5,13,STREET,41.770199922,-87.644541548
criminal_damage,2007,4,14,16,PARK PROPERTY,41.942842093,-87.761731154
robbery,2007,5,25,16,SIDEWALK,41.930164637,-87.739195527
theft,2011,11,28,12,OTHER,41.745220304,-87.643005725
prostitution,2008,4,3,23,STREET,41.744731508,-87.643868422
criminal_damage,2003,1,25,23,RESIDENCE,41.811322108,-87.640733803
robbery,2007,12,1,14,SIDEWALK,41.972477607,-87.728145353
criminal_damage,2007,5,12,18,OTHER,41.692376319,-87.68117354
theft,2012,6,17,22,ALLEY,41.852180051,-87.724776967
theft,2005,4,27,6,STREET,41.771628951,-87.645790993
prostitution,2001,7,27,20,STREET,41.909671398,-87.746262936
theft,2004,7,28,4,STREET,41.827277651,-87.614438098
prostitution,2008,4,4,21,STREET,42.007407039,-87.673594671
theft,2010,4,7,12,APARTMENT,41.78162664,-87.64125878
theft,2004,10,21,16,STREET,41.916661615,-87.688572882
prostitution,2007,10,9,21,STREET,41.910605703,-87.669415974
theft,2002,11,22,21,OTHER,41.764686314,-87.684074304
theft,2006,9,26,2,GROCERY FOOD STORE,41.864493678,-87.639158
criminal_damage,2016,10,28,17,STREET,41.889981729,-87.657943188
prostitution,2013,5,1,20,STREET,41.743503863,-87.60501807
narcotics,2010,5,17,20,SIDEWALK,41.894553036,-87.719945341
criminal_damage,2017,3,24,19,RESIDENCE,41.741769468,-87.694015341
robbery,2007,7,18,2,STREET,41.912641265,-87.767706357
prostitution,2010,2,25,23,STREET,41.788358466,-87.664437865
theft,2008,11,8,24,RESIDENCE,41.909854428,-87.668578786
narcotics,2009,3,30,23,STREET,41.750224946,-87.664650661
narcotics,2010,10,25,13,SIDEWALK,41.878856009,-87.726672071
prostitution,2003,10,9,20,STREET,41.916395238,-87.721643126
prostitution,2006,2,10,21,STREET,41.852004263,-87.688536253
theft,2010,5,9,17,GROCERY FOOD STORE,41.942216025,-87.728968248
robbery,2016,3,5,13,SIDEWALK,41.748152866,-87.658526697
criminal_damage,2003,9,28,16,APARTMENT,41.865620822,-87.719506076
theft,2017,1,23,18,STREET,41.912676108,-87.66207967
criminal_damage,2008,9,2,5,RESIDENCE-GARAGE,41.772500361,-87.73479824
narcotics,2008,11,28,3,STREET,41.678961547,-87.637121516
theft,2012,5,30,8,COMMERCIAL / BUSINESS OFFICE,41.853127184,-87.719174068
criminal_damage,2003,11,18,13,STREET,42.017155674,-87.67765228
criminal_damage,2007,1,8,1,STREET,41.938589826,-87.684033387
theft,2005,8,13,3,SIDEWALK,41.884420883,-87.72089792
