doc_id,label,train_id,text
doc00001,ham,valid,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
doc00002,spam,train,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
doc00003,spam,train,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
doc00004,ham,valid,But you dint in touch with me.
doc00005,spam,train,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk
doc00006,ham,valid,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
doc00007,spam,train,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
doc00008,ham,train,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
doc00009,spam,train,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
doc00010,spam,train,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
doc00011,spam,valid,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
doc00012,ham,train,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
doc00013,spam,valid,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
doc00014,spam,train,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
doc00015,ham,valid,I.ll post her out l8r. In class
doc00016,ham,valid,Yes. Last  practice
doc00017,ham,train,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
doc00018,spam,train,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
doc00019,ham,valid,You can jot down things you want to remember later.
doc00020,ham,train,How long does it take to get it.
doc00021,spam,train,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
doc00022,spam,train,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
doc00023,ham,train,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
doc00024,ham,train,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
doc00025,spam,valid,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
doc00026,ham,train,Some of them told accenture is not confirm. Is it true.
doc00027,spam,valid,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
doc00028,spam,train,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
doc00029,ham,valid,Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx
doc00030,ham,train,Eat at old airport road... But now 630 oredi... Got a lot of pple...
doc00031,ham,train,U wake up already? Thanx 4 e tau sar piah it's quite nice.
doc00032,spam,valid,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
doc00033,spam,train,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 )
doc00034,spam,train,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
doc00035,ham,train,Lol ok your forgiven :)
doc00036,spam,valid,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
doc00037,spam,train,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
doc00038,ham,train,K:)i will give my kvb acc details:)
doc00039,ham,train,did u get that message
doc00040,spam,train,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
doc00041,ham,train,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
doc00042,spam,train,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
doc00043,ham,train,Ok set let u noe e details later...
doc00044,spam,valid,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
doc00045,spam,train,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
doc00046,ham,train,Hope you are having a great day.
doc00047,ham,train,Lovely smell on this bus and it ain't tobacco...
doc00048,ham,train,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
doc00049,ham,valid,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
doc00050,spam,valid,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
doc00051,ham,valid,"Great. I'm in church now, will holla when i get out"
doc00052,ham,train,Ok... But bag again..
doc00053,spam,valid,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
doc00054,spam,train,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
doc00055,spam,valid,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
doc00056,ham,valid,Hey what how about your project. Started aha da.
doc00057,spam,train,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
doc00058,spam,train,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
doc00059,spam,train,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
doc00060,spam,valid,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
doc00061,ham,valid,I cant wait to see you! How were the photos were useful? :)
doc00062,ham,train,Wish u many many returns of the day.. Happy birthday vikky..
doc00063,spam,train,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
doc00064,spam,train,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
doc00065,ham,train,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
doc00066,spam,valid,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
doc00067,ham,valid,Apart from the one i told you about yesterday?
doc00068,spam,train,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
doc00069,ham,train,Have your lunch and come quickly and open the door:)
doc00070,spam,train,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
doc00071,spam,train,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
doc00072,ham,valid,He's just gonna worry for nothing. And he won't give you money its no use.
doc00073,ham,train,I'm in class. Did you get my text.
doc00074,spam,valid,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
doc00075,ham,valid,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
doc00076,spam,valid,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
doc00077,spam,valid,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
doc00078,spam,train,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
doc00079,ham,train,Correct. So how was work today
